"portal","country","usage","published_cap","cap_kb","total_or_max_files","formats","source_url","date_checked","confidence"
"ImmoScout24","DE","Message attachments (manual for professional advertisers)","Dokumente bis zur Größe von 19,5 MB hochladen (pdf, doc, docx, jpeg, gif, png)","19968","not stated","pdf, doc, docx, jpeg, gif, png","https://www.immobilienscout24.de/anbieten/gewerbliche-anbieter/tipps/anwender-tipps/anwender-handbuch/VermarktungAkquiseMarkenbildung/Vermarktung/Kontaktemanagen/Kontaktanfragenmanagen.html","2026-09-16","official"
"Bundesagentur für Arbeit, Ärztlicher Dienst","DE","Documents sent to the agency's medical service","maximale Dateigröße: 20 MB","20480","not stated","PDF, JPG, JPEG, PNG, BMP","https://www.arbeitsagentur.de/arbeitslos-arbeit-finden/dokumente-aerztlicher-dienst","2026-09-16","official"
"Deutsche Rentenversicherung, ZfA","DE","Riester allowance online services (150 pages max per PDF)","Ihre PDF-Dokumente dürfen jeweils nicht größer als 20 MB und nicht länger als 150 Seiten sein.","20480","100 files per service, 150 pages per PDF","PDF, JPG","https://riester.deutsche-rentenversicherung.de/DE/Service/Technische-Hinweise/Technische-Hinweise_Artikel.html","2026-09-16","official"
"Personio","DE","Documents sent through the application form","The maximum size per document received via the application form is 20 MB.","20480","10 MB per document added to the profile or sent by message","pdf, docx, doc, jpeg, jpg, png, txt, odt, rtf, ...","https://support.personio.de/hc/en-us/articles/360017288378-Manage-candidate-documents","2026-09-16","official"
"AOK (ePA)","DE","Upload to the electronic patient record, not the Meine AOK document upload","Sie können Dokumente bis maximal 25 MB in die elektronische Patientenakte (ePA) hochladen.","25600","not stated","PDF, JPG, JPEG, PNG, TIFF, TXT, JSON","https://www.aok.de/pk/faq/digitale-anwendungen/","2026-09-16","official"
"Mein Justizpostfach","DE","Message to a court, up to 1,000 attachments","Eine Nachricht darf maximal 1.000 Anhänge mit insgesamt 200 MB umfassen.","204800","200 MB and 1,000 attachments per message","not stated","https://mjpserviceportal.de/faq-items/dateigroesse-anhaenge/","2026-09-16","official"
"Bundesagentur für Arbeit eServices (Arbeitslosengeld)","DE","Documents for unemployment benefit (guide points to the note next to the upload field)","not documented","","not stated","PDF, JPG, PNG, BMP","https://www.arbeitsagentur.de/datei/anleitung-zum-hochladen-von-umfangreichen-dokumenten_ba036005.pdf","2026-09-16","not documented"
"Familienkasse (Kindergeld)","DE","Supporting documents for child benefit","not documented","","not stated","not stated","https://www.arbeitsagentur.de/familie-und-kinder/veraenderungen-mitteilen","2026-09-16","not documented"
"BAföG Digital","DE","Documents for a student grant application","not documented","","not stated","not stated","https://www.xn--bafg-7qa.de/bafoeg/de/antrag-stellen/elektronische-antragstellung/elektronische-antragstellung.html","2026-09-16","not documented"
"hochschulstart.de","DE","University admission procedure (DoSV)","not documented","","not stated","not stated","https://hochschulstart.de/faq","2026-09-16","not documented"
"TUM (TUMonline)","DE","Bachelor and master application documents (PDF only)","not documented","","not stated","PDF","https://www.tum.de/en/studies/application/application-info-portal/online-application","2026-09-16","not documented"
"Techniker Krankenkasse","DE","Applications, certificates and reimbursements in Meine TK","not documented","","not stated","not stated","https://www.tk.de/techniker/versicherung/krankenkasse-anliegen-online-erledigen/antraege-bescheinigungen-2023502","2026-09-16","not documented"
"Indeed Deutschland","DE","Resume file upload","not documented","","not stated","not stated","https://www.indeed.com/help/job-seekers/articles/11314976176141-faqs-lebenslaufdateien-erstellen-hochladen-und-verwalten?hl=de&co=DE","2026-09-16","not documented"
"StepStone.de","DE","Resume upload (official help not readable; 3 MB and 5 MB figures only on third-party or magazine pages)","not documented","","not stated","not stated","https://www.stepstone.de/hilfe","2026-09-16","not documented"
"XING","DE","Resume and documents on the profile","not documented","","not stated","PDF","https://www.xing.com/faq","2026-09-16","not documented"
"softgarden","DE","Applicant attachments (10 MB only in employer FAQs, not kept)","not documented","","not stated","not stated","https://support.softgarden.de/de/articles/522571-wie-bewerber-und-nutzer-anhange-verwalten-konnen","2026-09-16","not documented"
"SCHUFA","DE","ID document for a free credit report copy (2.3 MB only on third-party sites)","not documented","","not stated","not stated","https://www.meineschufa.de/service/datenkopie","2026-09-16","not documented"
"i-Kfz (KBA)","DE","Online vehicle registration (depends on each registration office)","not documented","","not stated","not stated","https://www.kba.de/DE/Themen/ZentraleRegister/Digitale_Fahrzeugzulassung/iKfz/ikfz_node.html","2026-09-16","not documented"
