"portal","country","usage","published_cap","cap_kb","total_or_max_files","formats","source_url","date_checked","confidence"
"Liaison Applicant Gateway (CAS)","US","Post-submission document uploads for programs using Liaison CAS (CASPA, GradCAS, etc.)","15 MB","15360","not stated","not stated","https://help.liaisonedu.com/Applicant_Gateway_Help_Center/Completing_Applicant_Gateway_Activities/Upload_Documents","2026-09-25","official"
"SlideRoom (Liaison)","US","Portfolio documents for arts, music and design admissions or scholarships","less than 10 MB (documents)","10240","not stated","documents; images under 5 MB, audio under 30 MB, video under 250 MB","https://help.liaisonedu.com/SlideRoom_Applicant_Help_Center/Completing_Your_SlideRoom_Application/03_Working_with_Your_Portfolio","2026-09-25","official"
"Interfolio Dossier","US","Academic job and fellowship application materials, confidential letters","under 100 MB","102400","not stated","DOC/DOCX, XLS/XLSX, PPT/PPTX, PDF and others (see table)","https://product-help.interfolio.com/general-account-help/accepted-file-types","2026-09-25","official"
"CSS Profile / IDOC (College Board)","US","Financial aid documents (tax returns, W-2s) requested by colleges through IDOC","no larger than 9 MB","9216","not stated","not stated","https://cssprofile.collegeboard.org/help-center/what-process-uploading-documents","2026-09-25","official"
"eFileTexas (Tyler Technologies)","US","State court e-filing in Texas (trial courts; appellate courts have other envelope limits)","25 MB per PDF; 35 MB per envelope","25600","35 MB per envelope (Courts of Appeal 2.10 GB, Supreme Court 36.7 MB)","PDF","https://efileandservetx.zendesk.com/hc/en-us/articles/12623900877965-What-is-the-Max-PDF-File-Size-Allowed","2026-09-25","official"
"eFileIL (Illinois courts)","US","State court e-filing in Illinois, circuit (trial) courts","25 MB per document; 50 MB per envelope","25600","50 MB per envelope (Supreme and Appellate Courts: 150 MB per envelope)","OCR PDF","https://efile.illinoiscourts.gov/wp-content/uploads/2022/10/2022_eFileIL_Electronic_Document_Standards_Revised.pdf","2026-09-25","institutional (court filing rules; other courts set different limits)"
"NYSCEF (New York State Courts)","US","New York State Courts Electronic Filing System","100 megabytes per PDF document","102400","not stated","PDF (layers must be flattened)","https://iappscontent.courts.state.ny.us/NYSCEF/live/faq.htm","2026-09-25","institutional (court filing rules; other courts set different limits)"
"CM/ECF (S.D.N.Y.)","US","Federal court e-filing, U.S. District Court for the Southern District of New York","15 MB per PDF","15360","not stated","PDF","https://www.nysd.uscourts.gov/sites/default/files/pdf/ecf_rules/ECF%20Rules%20February%202%202026%20FINAL%20v2.pdf","2026-09-25","institutional (court filing rules; other courts set different limits)"
"CM/ECF (N.D. Cal.)","US","Federal court e-filing, U.S. District Court for the Northern District of California","under 50 MB per file","51200","several attachments allowed (court tested 7 files near 50 MB)","PDF","https://cand.uscourts.gov/cases-e-filing/cmecf-information/preparing-your-cmecf-filing","2026-09-25","institutional (court filing rules; other courts set different limits)"
"USPTO Patent Center","US","Patent application documents filed online","25MB per PDF; 10MB per DOCX","25600","not stated","DOCX, PDF, TXT, XML, PCT Zip (sequence listings TXT/XML up to 100MB)","https://www.uspto.gov/sites/default/files/documents/Patent_Center_User_Guide_September_2025.pdf","2026-09-25","official"
"California EDD (SDI Online, Paid Family Leave)","US","Uploading continued claim forms and documents in SDI Online (myEDD)","less than 5MB","5120","up to 5 files per session","PDF, JPG, TIF, TIFF","https://edd.ca.gov/en/disability/paid-family-leave/step-6-manage-benefits/","2026-09-25","official"
"Texas Workforce Commission (UI Submission Portal)","US","Documents requested from unemployment claimants","up to 7 MB","7168","not stated","pdf, jpg, jpeg, tiff, png","https://www.twc.texas.gov/services/apply-benefits","2026-09-25","official (read on the Wayback Machine copy of 2026-08-23; the live page blocks non-U.S. visitors)"
"Dynamic Forms (NGWeb Solutions)","US","Financial aid verification forms and document uploads at colleges using Dynamic Forms","varies by school (3 MB to 25 MB)","","not stated","PDF (most schools)","https://www.ucf.edu/financial-aid/question/what-should-i-do-if-my-document-is-larger-than-the-maximum-size-limit-60-mb/","2026-09-25","institutional (no vendor limit; each school sets its own, e.g. UCF 3 MB, Marshall 3 MB, UCA 25 MB, South Carolina 25 MB)"
