"portal","country","usage","published_cap","cap_kb","total_or_max_files","formats","source_url","date_checked","confidence"
"CBSE (SARAS)","IN","School affiliation and private candidates","not documented","","not stated","not stated","https://saras.cbse.gov.in/","2026-09-16","not documented"
"EPFO Unified Member Portal","IN","KYC and claim documents","not documented","","not stated","not stated","https://www.epfindia.gov.in/","2026-09-16","not documented"
"myAadhaar","IN","Identity and address proof update (2 MB only on third-party sites)","not documented","","not stated","not stated","https://uidai.gov.in/","2026-09-16","not documented"
"PAN (Protean, UTIITSL)","IN","PAN card application documents","not documented","","not stated","not stated","https://www.protean-tinpan.com/","2026-09-16","not documented"
"e-Shram","IN","Worker registration (Aadhaar e-KYC, no PDF upload documented)","not documented","","not stated","not stated","https://eshram.gov.in/","2026-09-16","not documented"
"Parivahan (Sarathi, Vahan)","IN","Driving licence and vehicle services","not documented","","not stated","not stated","https://sarathi.parivahan.gov.in/sarathiservice/faq.do","2026-09-16","not documented"
"PM-Kisan","IN","Farmer support scheme (site unreachable from outside India)","not documented","","not stated","not stated","https://pmkisan.gov.in/","2026-09-16","not documented"
"CPGRAMS","IN","Public grievance attachments (PDF, no size in the manual)","not documented","","not stated","PDF","https://pgportal.gov.in/CPGOFFICE/Documents/CPGRAMS-Help.pdf","2026-09-16","not documented"
"Indeed India","IN","Resume file upload","not documented","","not stated","not stated","https://www.indeed.com/help/job-seekers/articles/4408783727629-uploading-a-resume-file-to-your-profile?hl=en&co=US","2026-09-16","not documented"
"Foundit","IN","Resume upload","not documented","","not stated","not stated","https://www.foundit.in/info/help","2026-09-16","not documented"
"Apna","IN","Resume upload","not documented","","not stated","not stated","https://apna.co/candidate-help-center/15/how-to-upload-resume","2026-09-16","not documented"
"LIC","IN","Customer portal documents (images under 100 KB only, PDF not accepted)","not documented","","not stated","bmp, png, jpg, jpeg, gif, tiff","https://originlic.licindia.in/faqs","2026-09-16","not documented"
"eNPS (Protean)","IN","Pension account opening (photo and signature JPG 4 to 12 KB, no PDF upload)","not documented","","not stated","JPG","https://enps.nps-proteantech.in/eNPS/NationalPensionSystem.html","2026-09-16","not documented"
"HDFC Bank","IN","Online Re-KYC (2 MB only on a third-party tool, not kept)","not documented","","not stated","not stated","https://www.hdfc.bank.in/savings-account/services/re-kyc","2026-09-16","not documented"
"Axis Bank","IN","Re-KYC","not documented","","not stated","not stated","https://www.axis.bank.in/re-kyc","2026-09-16","not documented"
"CKYC (CERSAI)","IN","Central KYC registry (filled by institutions)","not documented","","not stated","not stated","https://cersai.org.in/CERSAI/home.prg","2026-09-16","not documented"
