"portal","country","usage","published_cap","cap_kb","total_or_max_files","formats","source_url","date_checked","confidence"
"Banco de España","ES","Form plus attachments, e.g. bank complaints, 20 files","Total size (form + attachments): up to 25 MB. Maximum 20 files per submission.","25600","25 MB total, 20 files","DOC, DOCX, JPG, MP3, PDF, PNG, RTF, TIFF, TXT, XML, XLS(X)","https://sedeelectronica.bde.es/sede/en/registro-electronico--informacion-general--requisitos-tecnicos-e.html","2026-09-16","official"
"Red.es","ES","Documents for Red.es applications","el tamaño máximo para la suma de todos los documentos es de 25 MB","25600","25 MB total","pdf, doc(x), odt, xls(x), jpg, zip, rar, 7z and others","https://sede.red.gob.es/en/ayuda/presentacion-documentacion","2026-09-16","official"
"Concello da Coruña","ES","Documents attached to a request","Si el tamaño total es inferior a 50 MB, y no hay ningún archivo que supere los 30 Mb ... puede adjuntar todos los documentos","30720","50 MB total","not stated","https://sede.coruna.gal/sede/es/ayuda/docu-gran-tamano?argIdioma=es","2026-09-16","official"
"IPS (oposiciones)","ES","Attachments to a civil service exam registration (2022 user manual)","el ciudadano podrá adjuntar documentos hasta un máximo de 50MB entre todos ellos","51200","50 MB total","not stated","https://www.ciencia.gob.es/dam/jcr:b49eedc9-fef2-4895-889d-a58711a663ac/IPS_Manual_usuario.pdf","2026-09-16","official"
"Catastro","ES","Cadastral requests, everything in one ZIP file","El tamaño máximo permitido del fichero comprimido que se adjunta es 60 Mega bytes.","61440","60 MB total","a single ZIP","https://www.catastro.hacienda.gob.es/ayuda/modelos_ayuda_generico.htm","2026-09-16","official"
"Agencia Tributaria","ES","Supporting documents for a filed return","El tamaño admitido de cada uno de los ficheros adjuntados no puede exceder los 64 Mb","65536","not stated","csv, docx, gif, png, jpg, pdf, mp3, mp4, txt, zip, 7z","https://sede.agenciatributaria.gob.es/Sede/ayuda/consultas-informaticas/presentacion-declaraciones-ayuda-tecnica/presentacion-documentacion-complementaria.html","2026-09-16","official"
"Xunta de Galicia","ES","All documents in one submission","El tamaño máximo del conjunto de documentos aportados en una presentación en esta sede es de 100 MB","102400","100 MB total","pdf, docx, jpg, png, odt, mp4 and others; no archives","https://sede.xunta.gal/es/como-podo/presentar-documentacion-gran-tamano","2026-09-16","official"
"Tecnoempleo","ES","Candidate resume (only the photo size is stated)","not documented","","not stated","not stated","https://www.tecnoempleo.com/ayuda.php","2026-09-16","not documented"
"UNED","ES","Applications and documents","not documented","","not stated","not stated","https://uned.sede.gob.es/faqs","2026-09-16","not documented"
"Comunidad de Madrid (preinscripción universitaria)","ES","Documents for a university place application","not documented","","not stated","not stated","https://www.comunidad.madrid/educacion/preguntas-frecuentes-estudios-universitarios","2026-09-16","not documented"
"Universidad Complutense de Madrid","ES","Pre-enrolment documents (PDF required)","not documented","","not stated","PDF","https://www.ucm.es/faqs-1","2026-09-16","not documented"
"Becas MEC","ES","General grant application","not documented","","not stated","not stated","https://www.becaseducacion.gob.es/becas-y-ayudas/fp-bachillerato-otros/como-solicitarla.html","2026-09-16","not documented"
"Servicio Andaluz de Salud","ES","Online health service procedures","not documented","","not stated","not stated","https://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/ciudadania/clicsalud/tramites","2026-09-16","not documented"
"Mercurio (extranjería)","ES","Residence and work permit applications (5 and 6 MB only in secondary sources, not kept)","not documented","","not stated","PDF","https://mercurio.delegaciondelgobierno.gob.es/mercurio/inicioMercurio.html","2026-09-16","not documented"
