"portal","country","usage","published_cap","cap_kb","cap_type","total_or_max_files","formats","source_url","date_checked","confidence"
"MaPrimeRénov'","FR","Supporting documents uploaded in the grant application","5 mégaoctets par pièce","5120","published_cap","not stated","PDF, JPG, JPEG, ZIP (no password)","https://www.ecologie.gouv.fr/sites/default/files/documents/ANAH_MPR_Professionnels_20201105.pdf","2026-09-15","institutional (Anah FAQ from 2020; nothing on france-renov.gouv.fr/faq or in the 2025 Anah step-by-step guide)"
"justice.fr (portail du justiciable)","FR","Supporting documents for an online court filing","inférieure à 5 mégaoctets","5120","published_cap","50 documents per filing","PDF, JPEG, PNG","https://www.cours-appel.justice.fr/sites/default/files/2021-02/requ%C3%AAte%20num%C3%A9rique%20le%20pas%20%C3%A0%20pas%20du%20justiciable.pdf","2026-09-15","institutional (Ministry of Justice guide, 2021)"
"Welcome to the Jungle","FR","Resume attached to a job application","5MB","5120","published_cap","not stated","PDF only","https://help.welcometothejungle.com/en/some-troubles-to-apply-on-welcome-to-the-jungle","2026-09-15","official"
"CAF","FR","Sending a document from the online account","10 Mo maximum pour l'ensemble des documents d'un envoi","10240","published_cap","10 MB per submission; one document type per submission","JPEG, PDF, JPG, PNG, GIF","https://www.caf.fr/allocataires/caf-du-nord/offre-de-service/thematique-libre/envoyer-un-document-la-caf-depuis-mon-espace-mon-compte","2026-09-15","official (10 MB is the total for all documents of one submission)"
"ANEF (étrangers en France)","FR","Attachments for online immigration procedures (portal help page)","10 Mo","10240","published_cap","not stated","PDF, JPG, PNG","https://etrangers-en-france.interieur.gouv.fr/aide","2026-09-15","official"
"DossierFacile","FR","Uploading supporting documents for a rental application file","10 Mo par fichier","10240","published_cap","50 MB per document; 5 to 20 files depending on the category","not stated on the source page","https://partenaire.dossierfacile.logement.gouv.fr/documentation-technique/api/taille-maximale-dupload-des-documents","2026-09-15","official (technical documentation)"
"Guichet unique des formalités d'entreprises (INPI)","FR","Supporting documents for a business formality","10 Mo par fichier","10240","published_cap","not stated","PDF only","https://formalites.entreprises.gouv.fr/justificatifs.php","2026-09-15","official"
"Chorus Pro","FR","Attachments to an invoice","10 Mo par pièce jointe unitaire","10240","published_cap","120 MB per invoice file (entry or PDF upload), 30 MB for XML batch upload; file name 50 characters max","46 extensions including PDF, XML, XLSX, DOCX, JPG, PNG, ZIP","https://communaute.chorus-pro.gouv.fr/pieces-jointes-dans-chorus-pro-quelques-regles-a-respecter/","2026-09-15","official"
"ANTS (CNI/passeport et permis de conduire)","FR","Supporting documents for ID card/passport pre-applications and driving licence applications","11Mo","11264","published_cap","driving licence: up to 7 additional documents","ID card/passport: JPEG, PNG, PDF; driving licence: JPG, PNG, BMP, TIFF, PDF","https://passeport.ants.gouv.fr/aide-et-contact/transmettre-mes-justificatifs-en-ligne","2026-09-15","official (driving licence: https://permisdeconduire.ants.gouv.fr/aide-et-contact/pieces-du-dossier)"
"La Poste, Lettre recommandée en ligne","FR","File of a letter sent online","20 Mo maximum","20480","published_cap","90 pages (45 double-sided sheets) for online registered mail","PDF, JPEG, JPG, PNG","https://aide.laposte.fr/contenu/quel-format-doit-avoir-mon-courrier-envoye-en-ligne","2026-09-15","official"
"Doctolib","FR","Sending a document to a practitioner before an appointment","50 MO","51200","published_cap","not stated","JPEG, JPG, PNG, PDF","https://doctolibpatient.zendesk.com/hc/fr/articles/360009570200-Envoyer-un-document-%C3%A0-mon-soignant-en-amont-de-ma-consultation","2026-09-15","official"
"Démarches simplifiées","FR","Attachments to an application file","200 Mo au total par champ","204800","published_cap","200 MB per field; ID documents 20 MB max (JPG, JPEG, PNG)","PDF, DOC, DOCX, XLS, XLSX, CSV, PPT, PPTX, ODT, ODS, ODP, JPG, JPEG, PNG","https://doc.demarches-simplifiees.fr/tutoriels/tutoriel-usager","2026-09-15","official (200 MB is the total per field)"
"impots.gouv.fr","FR","Attachments in the secure messaging","not documented","","not_documented","not stated","not documented","https://www.impots.gouv.fr/la-messagerie-securisee-0","2026-09-15","not documented (the economie.gouv.fr page about the messaging gives no figure; a user cites ""la limite de 10Mo"" on Services Publics+ on 2023-10-03, not confirmed by the tax administration; the only official limit found, 1 MB PDF/JPEG/PNG, applies to the quitus fiscal procedure)"
"Ameli","FR","Sending documents from the ameli health insurance account","not documented","","not_documented","not stated","not documented","https://forum-assures.ameli.fr/questions/3660219-envoyer-document","2026-09-15","not documented (Assurance Maladie reply dated 2025-11-03 says attachments cannot be sent from the account's message area; the ""Complément dossier"" service publishes no cap)"
"Parcoursup","FR","Documents attached to the applicant file","not documented","","not_documented","not stated","not documented","https://www.parcoursup.gouv.fr/faq/thematiques/fonctionnement-de-parcoursup/completer-son-dossier","2026-09-15","not documented (FAQ search for ""fichier"" returns nothing; the 11 MB figure only circulates on unofficial sites)"
"messervices.etudiant.gouv.fr (Crous, DSE)","FR","Uploading documents for the student social file (grants and housing)","not documented","","not_documented","not stated","PDF mentioned on etudiant.gouv.fr","https://messervices.etudiant.gouv.fr/page/faq","2026-09-15","not documented (also checked: https://www.etudiant.gouv.fr/fr/bourse-et-logement-constituez-votre-dossier-social-etudiant-dse-409)"
"Mon Compte Formation","FR","Supporting documents requested by the Caisse des Dépôts","not documented","","not_documented","not stated","not documented","https://www.moncompteformation.gouv.fr/espace-public/jai-realise-une-demande-dinscription-en-formation-et-la-cdc-me-demande-des-pieces-justificatives","2026-09-15","not documented (terms of use and the ""Mes dossiers"" help page give no figure either)"
"Action Logement","FR","Supporting documents for a housing aid application","not documented","","not_documented","not stated","not documented","https://www.actionlogement.fr/comment-joindre-mes-documents-justificatifs-ma-demande","2026-09-15","not documented (general FAQ https://www.actionlogement.fr/faq gives no figure either)"
"Indeed France","FR","Importing a resume into the profile","not documented","","not_documented","not stated","""Tous les formats ne sont pas acceptés"" (no list given)","https://fr.indeed.com/help/job-seekers/articles/4408783727629-importer-un-cv-dans-votre-profil?hl=fr&co=FR","2026-09-15","not documented (FAQ https://www.indeed.com/help/job-seekers/articles/11314976176141-faq-cr%C3%A9er-importer-et-g%C3%A9rer-un-fichier-de-cv?hl=fr&co=FR gives no figure either)"
"Common App","US","Applicant upload (SAT score report PDF; general cap page requires login)","2000 KB","2000","published_cap","not stated","PDF (score report)","https://appsupport.commonapp.org/s/article/SAT-score-report-PDF-file-size-2000-KB","2026-09-15","official"
"LinkedIn","US","Resume upload in Easy Apply (2 MB is a recommendation, not a hard cap)","recommended file size less than 2MB (recommendation, not stated as hard cap)","2048","recommendation","not stated","Microsoft Word or PDF","https://www.linkedin.com/help/linkedin/answer/a510363/","2026-09-15","official"
"USAJOBS","US","Resume / document upload to profile and applications","5 MB or less","5120","published_cap","not stated","PDF recommended; GIF, JPG, JPEG, PNG, RTF, TXT, ODT, DOC, DOCX","https://help.usajobs.gov/faq/application/documents/resume/what-to-include","2026-09-15","official"
"HealthCare.gov","US","Proof documents to confirm application information","under 10 MB","10240","published_cap","not stated",".pdf, .jpeg, .jpg, .gif, .xml, .png, .tiff, .bmp","https://www.healthcare.gov/help/how-to-upload-documents/","2026-09-15","official"
"USCIS (myUSCIS)","US","Evidence upload with online forms","not larger than 12MB","12288","published_cap","not stated","PDF, JPG, JPEG; TIF/TIFF for some forms","https://www.uscis.gov/file-online/tips-for-filing-forms-online","2026-09-15","official"
"IRS Document Upload Tool","US","Responding to IRS notices / correspondence","15 MB per file","15360","published_cap","up to 40 files; PDFs limited to 120 pages each","JPEG, PNG, PDF","https://www.irs.gov/newsroom/irs-expands-secure-digital-correspondence-for-taxpayers","2026-09-15","official"
"Social Security Administration","US","Upload Documents in my Social Security","each file cannot exceed 25MB","25600","published_cap","each submission cannot exceed 50 files","not stated on page","https://www.ssa.gov/faqs/en/questions/KA-10122.html","2026-09-15","official"
"VA.gov","US","Uploading evidence for a disability claim","maximum file size is 25 MB","25600","published_cap","not stated","PDF, GIF, JPEG, BMP, TXT","https://www.va.gov/resources/claim-status-tool-faqs/","2026-09-15","official"
"PACER / CM-ECF (C.D. California)","US","Federal court e-filing (limit set per court; 35 MB in this district)","35 MB per PDF (C.D. Cal.); varies by court","35840","published_cap","one document per file","PDF","https://www.cacd.uscourts.gov/news/pdf-file-size-limit-increase-cmecf","2026-09-15","official"
"Greenhouse","US","Candidate uploads (resume, cover letter) via job application","up to 100 MB (resume parsing only under 2.5MB)","102400","published_cap","not stated",".doc, .docx, .pdf, .rtf, .txt","https://support.greenhouse.io/hc/en-us/articles/360052218132-Supported-formats-for-resumes-cover-letters-and-other-candidate-uploads","2026-09-15","official"
"Lever","US","Candidate file upload question on application form","maximum of 100 MB","102400","published_cap","not stated","not stated","https://help.lever.co/hc/en-us/articles/20087243347741-Configuring-your-Lever-Application-Form","2026-09-15","official"
"Grants.gov","US","Grant application package attachments (Workspace)","200 MB suggested for the whole package; per-file limit set by each agency","","not_documented","200 MB total (suggested)","agency-dependent (e.g. .pdf, .xls, .docx); file names max 50 characters","https://www.grants.gov/applicants/applicant-faqs.html","2026-09-15","not documented per file (package-level suggestion)"
"FAFSA / StudentAid.gov","US","Document upload tool (Status Center)","not documented","","not_documented","not stated","not stated","https://studentaid.gov/help-center/answers/article/why-cant-i-upload-supporting-documents-to-status-center","2026-09-15","not documented"
"Indeed (US)","US","Resume upload to profile / applications","not documented (help pages state formats only)","","not_documented","not stated",".doc, .docx, .pdf, .txt, .rtf (career-advice page)","https://www.indeed.com/help/job-seekers/articles/4408783727629-uploading-a-resume-file-to-your-profile?hl=en&co=US","2026-09-15","not documented"
"Workday","US","Candidate attachment upload on Workday career sites","not documented publicly","","not_documented","not stated","not stated","https://community.workday.com/sites/default/files/file-hosting/productionapi/Recruiting/v23.2/Put_Candidate_Attachment.html","2026-09-15","not documented"
"California DMV online services","US","Document upload for online DL/ID (REAL ID) application","not documented","","not_documented","not stated","not stated","https://www.dmv.ca.gov/portal/driver-licenses-identification-cards/dl-id-online-app-edl-44/document-verification-faqs/","2026-09-15","not documented"
"California EDD (UI Online)","US","Claimant document upload (identity / address verification)","not documented for UI Online (SDI Online page lists formats only)","","not_documented","not stated","PDF, JPG, TIF, TIFF (SDI Online step 3 page)","https://edd.ca.gov/en/unemployment/identity-verification/","2026-09-15","not documented"
"SAM.gov","US","Entity registration / reporting attachments","not documented","","not_documented","not stated","not stated","https://sam.gov/subcontract-reports-help","2026-09-15","not documented"
"Reed.co.uk","UK","CV upload (job seeker profile)","1 MB","1024","published_cap","not stated","not stated on page","https://www.reed.co.uk/help/registration","2026-09-15","official"
"Totaljobs","UK","CV upload (profile / application)","maximum size of 1MB","1024","published_cap","not stated","Word (.doc, .docx) or PDF, not password-protected","https://help.totaljobs.com/s/article/How-do-I-upload-my-CV","2026-09-15","official"
"HMRC Self Assessment online","UK","PDF attachments to a Self Assessment return (5 MB total across all attachments)","5MB un-encoded (summed size of ALL attachments)","5120","published_cap","5 MB total for all attachments; number of attachments limited on SA Online (figure not published)","PDF only","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/764105/2019-nonform.pdf","2026-09-15","official"
"UCAS","UK","Uploading documents to the undergraduate application","restricted to 5MB","5120","published_cap","maximum of 30 individual documents","pdf, jpeg, jpg, png, doc, docx, odt","https://www.ucas.com/applying/applying-to-university/uploading-documents-to-your-application","2026-09-15","official"
"GOV.UK UKVI (EU Settlement Scheme)","UK","Supporting evidence for an EU Settlement Scheme application","no more than 6MB per document","6144","published_cap","maximum of 10 documents","photos or scans (general UKVI guidance: PNG, JPG, JPEG for photos; PDF, PNG, JPG, JPEG for scans)","https://www.gov.uk/guidance/eu-settlement-scheme-evidence-of-uk-residence","2026-09-15","official"
"Companies House WebFiling","UK","PDF attachment (copy of deed) for charge registration","no bigger than 10 MB","10240","published_cap","not stated","PDF, version 1.2 to 1.7 inclusive","https://ewf.companieshouse.gov.uk/help/en/stdwf/charges.html","2026-09-15","official"
"CV-Library","UK","CV upload at registration","under 10 megabytes","10240","published_cap","not stated",".doc, .docx, .pdf","https://www.cv-library.co.uk/help/register-your-cv","2026-09-15","official"
"HMCTS CE-File","UK","Electronic court filing via CE-File","not exceed 100 megabytes or such other limit that may be specified by HMCTS","102400","published_cap","not stated","not stated on PD page","https://www.justice.gov.uk/practice-direction-5c-ce-file-electronic-filing-and-case-management-system","2026-09-15","official"
"Universal Credit","UK","Document upload in the online account / journal","not documented","","not_documented","not stated","not stated","https://www.gov.uk/universal-credit/how-to-claim","2026-09-15","not documented"
"DVLA","UK","Online driving licence services","not documented (online renewal uses passport photo, no document upload described)","","not_documented","not stated","not stated","https://www.gov.uk/renew-driving-licence","2026-09-15","not documented"
"NHS App / GP online services","UK","Documents in the NHS App (patient side is download only)","not documented (not verifiable)","","not_documented","not stated","not stated","https://www.nhs.uk/nhs-app/nhs-app-help-and-support/","2026-09-15","not documented"
"Indeed (UK)","UK","CV upload to profile / applications","not documented (help pages state formats only)","","not_documented","not stated","not stated on help page","https://www.indeed.com/help/job-seekers/articles/4408783727629-uploading-a-cv-file-to-your-profile?hl=en&co=GB","2026-09-15","not documented"
"LinkedIn","DE","Resume for a job application (recommendation, not counted)","Wir empfehlen eine Dateigröße von weniger als 2 MB.","2048","recommendation","not stated","DOC/DOCX, PDF","https://www.linkedin.com/help/linkedin/answer/a510363/ihren-lebenslauf-auf-linkedin-hochladen?lang=de","2026-09-16","official (recommendation, not a hard cap)"
"Bundesagentur für Arbeit, JOBBÖRSE","DE","All attachments of one job application (help page of the older JOBBÖRSE interface)","Die gesamte Größe der Anlagen für diese Bewerbung darf 3 MB nicht überschreiten.","3072","published_cap","3 MB total for all attachments of an application","PDF (recommended), DOC, DOCX, ODF, PPS, PPSX, RTF, TXT, XLS, XLSX, BMP, GIF, JPG, PNG, ZIP","https://jobboerse.arbeitsagentur.de/vamJB/hilfe/de/AS/betreut/1438.html","2026-09-16","official (help page of the older JOBBÖRSE interface; may differ in the current job search)"
"ElterngeldDigital","DE","Supporting documents for parental allowance","Die Dateigröße beträgt maximal 5 MB pro Anhang.","5120","published_cap","total per application also limited (figure not published)","PDF, JPG, PNG","https://www.elterngeld-digital.de/ams/content/Elterngeld/haeufige-fragen-online-antrag","2026-09-16","official"
"LMU München GraduateCenter","DE","Doctoral application documents","Die einzelne Datei darf eine Größe von 5 MB nicht überschreiten.","5120","published_cap","not stated","PDF unencrypted, JPG, PNG","https://www.portal.graduatecenter.lmu.de/gc-application/de/node/331","2026-09-16","official"
"Service-Portal Berlin, WBS","DE","Housing eligibility certificate (30 MB total)","Eine einzelne Datei darf maximal 5 MB groß sein","5120","published_cap","30 MB total","PDF, JPG","https://service.berlin.de/dienstleistung/120671/","2026-09-16","official"
"Service-Portal Berlin, Wohngeld","DE","Housing benefit application (30 MB total)","Die Gesamtgröße Ihrer Dateien darf 30 MB nicht überschreiten","5120","published_cap","30 MB total","PDF, JPG","https://service.berlin.de/dienstleistung/120656/","2026-09-16","official"
"KKH","DE","Document upload (5 files, 10 MB total)","Die maximale Gesamtgröße aller Dateien darf insgesamt 10 MB nicht überschreiten.","5120","published_cap","5 files, 10 MB total","JPG, JPEG, PNG, PDF","https://www.kkh.de/meine-kkh/dokumente-hochladen","2026-09-16","official"
"Service-Portal Berlin, Einbürgerung","DE","Naturalisation application (100 MB total)","Eine einzelne Datei darf maximal 7 MB groß sein.","7168","published_cap","100 MB total","PDF, JPG, JPEG, PNG","https://service.berlin.de/dienstleistung/318998/","2026-09-16","official"
"jobcenter.digital","DE","Documents for citizen's income (Bürgergeld), figure published by local jobcenters","Bitte beachten Sie hierbei die maximale Dateigröße von 7,5 MB.","7680","published_cap","not stated","PDF, JPG, JPEG","https://www.jobcenter-nordsachsen.de/service/jobcenter-digital","2026-09-16","official (local jobcenter page; another jobcenter states 7.5 MB for the whole message)"
"ELSTER","DE","Supporting documents sent after a tax return (20 attachments, 200 pages max each)","maximale Dateigröße je Anhang: 10 MB","10240","published_cap","20 attachments, 36.91 MB total, 200 PDF pages per attachment","PDF","https://www.elster.de/eportal/helpGlobal?themaGlobal=help_belegnachreichung","2026-09-16","official"
"uni-assist","DE","Application documents of international students","Each file can be a maximum of 10 MB in size.","10240","published_cap","not stated","PDF","https://www.uni-assist.de/en/faqs/apply-online/","2026-09-16","official"
"KfW","DE","Proof documents for the heating grant (20 MB per proof)","Jede Datei darf maximal 10 MB groß sein.","10240","published_cap","20 MB per proof document","PDF","https://www.kfw.de/inlandsfoerderung/Heizungsf%C3%B6rderung/Nachweiseinreichung/","2026-09-16","official"
"ImmoScout24","DE","Message attachments (manual for professional advertisers)","Dokumente bis zur Größe von 19,5 MB hochladen (pdf, doc, docx, jpeg, gif, png)","19968","published_cap","not stated","pdf, doc, docx, jpeg, gif, png","https://www.immobilienscout24.de/anbieten/gewerbliche-anbieter/tipps/anwender-tipps/anwender-handbuch/VermarktungAkquiseMarkenbildung/Vermarktung/Kontaktemanagen/Kontaktanfragenmanagen.html","2026-09-16","official"
"Bundesagentur für Arbeit, Ärztlicher Dienst","DE","Documents sent to the agency's medical service","maximale Dateigröße: 20 MB","20480","published_cap","not stated","PDF, JPG, JPEG, PNG, BMP","https://www.arbeitsagentur.de/arbeitslos-arbeit-finden/dokumente-aerztlicher-dienst","2026-09-16","official"
"Deutsche Rentenversicherung, ZfA","DE","Riester allowance online services (150 pages max per PDF)","Ihre PDF-Dokumente dürfen jeweils nicht größer als 20 MB und nicht länger als 150 Seiten sein.","20480","published_cap","100 files per service, 150 pages per PDF","PDF, JPG","https://riester.deutsche-rentenversicherung.de/DE/Service/Technische-Hinweise/Technische-Hinweise_Artikel.html","2026-09-16","official"
"Personio","DE","Documents sent through the application form","The maximum size per document received via the application form is 20 MB.","20480","published_cap","10 MB per document added to the profile or sent by message","pdf, docx, doc, jpeg, jpg, png, txt, odt, rtf, ...","https://support.personio.de/hc/en-us/articles/360017288378-Manage-candidate-documents","2026-09-16","official"
"AOK (ePA)","DE","Upload to the electronic patient record, not the Meine AOK document upload","Sie können Dokumente bis maximal 25 MB in die elektronische Patientenakte (ePA) hochladen.","25600","published_cap","not stated","PDF, JPG, JPEG, PNG, TIFF, TXT, JSON","https://www.aok.de/pk/faq/digitale-anwendungen/","2026-09-16","official"
"Mein Justizpostfach","DE","Message to a court, up to 1,000 attachments","Eine Nachricht darf maximal 1.000 Anhänge mit insgesamt 200 MB umfassen.","204800","published_cap","200 MB and 1,000 attachments per message","not stated","https://mjpserviceportal.de/faq-items/dateigroesse-anhaenge/","2026-09-16","official"
"Bundesagentur für Arbeit eServices (Arbeitslosengeld)","DE","Documents for unemployment benefit (guide points to the note next to the upload field)","not documented","","not_documented","not stated","PDF, JPG, PNG, BMP","https://www.arbeitsagentur.de/datei/anleitung-zum-hochladen-von-umfangreichen-dokumenten_ba036005.pdf","2026-09-16","not documented"
"Familienkasse (Kindergeld)","DE","Supporting documents for child benefit","not documented","","not_documented","not stated","not stated","https://www.arbeitsagentur.de/familie-und-kinder/veraenderungen-mitteilen","2026-09-16","not documented"
"BAföG Digital","DE","Documents for a student grant application","not documented","","not_documented","not stated","not stated","https://www.xn--bafg-7qa.de/bafoeg/de/antrag-stellen/elektronische-antragstellung/elektronische-antragstellung.html","2026-09-16","not documented"
"hochschulstart.de","DE","University admission procedure (DoSV)","not documented","","not_documented","not stated","not stated","https://hochschulstart.de/faq","2026-09-16","not documented"
"TUM (TUMonline)","DE","Bachelor and master application documents (PDF only)","not documented","","not_documented","not stated","PDF","https://www.tum.de/en/studies/application/application-info-portal/online-application","2026-09-16","not documented"
"Techniker Krankenkasse","DE","Applications, certificates and reimbursements in Meine TK","not documented","","not_documented","not stated","not stated","https://www.tk.de/techniker/versicherung/krankenkasse-anliegen-online-erledigen/antraege-bescheinigungen-2023502","2026-09-16","not documented"
"Indeed Deutschland","DE","Resume file upload","not documented","","not_documented","not stated","not stated","https://www.indeed.com/help/job-seekers/articles/11314976176141-faqs-lebenslaufdateien-erstellen-hochladen-und-verwalten?hl=de&co=DE","2026-09-16","not documented"
"StepStone.de","DE","Resume upload (official help not readable; 3 MB and 5 MB figures only on third-party or magazine pages)","not documented","","not_documented","not stated","not stated","https://www.stepstone.de/hilfe","2026-09-16","not documented"
"XING","DE","Resume and documents on the profile","not documented","","not_documented","not stated","PDF","https://www.xing.com/faq","2026-09-16","not documented"
"softgarden","DE","Applicant attachments (10 MB only in employer FAQs, not kept)","not documented","","not_documented","not stated","not stated","https://support.softgarden.de/de/articles/522571-wie-bewerber-und-nutzer-anhange-verwalten-konnen","2026-09-16","not documented"
"SCHUFA","DE","ID document for a free credit report copy (2.3 MB only on third-party sites)","not documented","","not_documented","not stated","not stated","https://www.meineschufa.de/service/datenkopie","2026-09-16","not documented"
"i-Kfz (KBA)","DE","Online vehicle registration (depends on each registration office)","not documented","","not_documented","not stated","not stated","https://www.kba.de/DE/Themen/ZentraleRegister/Digitale_Fahrzeugzulassung/iKfz/ikfz_node.html","2026-09-16","not documented"
"DGT","ES","Attachments to a procedure for leasing companies","Se podrán adjuntar tantos archivos como sean necesarios, con un límite de 2 MB por fichero.","2048","published_cap","not stated","not stated","https://sede.dgt.gob.es/es/vehiculos/tramites-para-empresas/arrendatarios-vehiculos-renting/","2026-09-16","official (procedure for companies; DGT pages for individuals publish no limit)"
"LinkedIn","ES","Resume for a job application (recommendation)","Recomendamos subir un archivo de menos de 2 MB en formato Microsoft Word o PDF.","2048","recommendation","not stated","Word, PDF","https://www.linkedin.com/help/linkedin/answer/a510363/cargar-tu-curriculum-cuando-solicitas-un-empleo-en-linkedin?lang=es","2026-09-16","official (recommendation, not a hard cap)"
"Distrito Único Andaluz","ES","Master's pre-enrolment documents, PDF only","todos los documentos que se adjunten en la solicitud deben estar en formato PDF y no superar el tamaño máximo permitido (4MB)","4096","published_cap","not stated","PDF","https://www.uhu.es/master-quimica-sanitaria/sites/master-quimica-sanitaria/files/2025-06/2024_manual_preinscripcion_VERSION_GENERAL.pdf","2026-09-16","official"
"Universidad Pública de Navarra","ES","Undergraduate pre-enrolment documents, no phone photos","Tamaño máximo de cada documento: 4 Mb.","4096","published_cap","not stated","PDF (no phone photos)","https://www.unavarra.es/sites/estudios/acceso-y-admision/admision-en-estudios-de-grado/haz-tu-preinscripcion.html","2026-09-16","official"
"InfoJobs","ES","Attached resume (PDF or DOC)","El formato del CV deberá ser Pdf o Doc y no podrá superar los 5 MB.","5120","published_cap","not stated","PDF, DOC","https://ayuda.infojobs.net/hc/es/articles/40722392329745--C%C3%B3mo-puedo-crear-y-adjuntar-un-nuevo-CV","2026-09-16","official"
"Ajuntament de Barcelona","ES","Generic request, 6 attachments","hi ha un límit de sis documents annexos i una mida màxima de 5 Mb en total","5120","published_cap","6 attachments, 5 MB total","PDF, JPG, TIFF","https://seuelectronica.ajuntament.barcelona.cat/ca/registre-electronic","2026-09-16","official"
"Generalitat de Catalunya","ES","Downloadable PDF forms, attachments included","for forms that you have to download to your computer (PDF), with the attached documents included, it cannot exceed 5 MB.","5120","published_cap","5 MB total","PDF, JPG, etc.","https://web.gencat.cat/en/seu-electronica/tramitacio/suport-tramitacio/durant-la-tramitacio/adjuntar-documents-al-formulari-del-tramit","2026-09-16","official"
"Gobierno Vasco","ES","General e-registry (per-file figure is a recommendation)","Tamaño máximo recomendado por fichero: 5 MB / Tamaño máximo del conjunto de ficheros adjuntos: 15 MB","5120","published_cap","15 MB total (maximum)","pdf, docx, xlsx, jpg, png, zip and others","https://www.euskadi.eus/formatos-y-estandares-admitidos-en-el-registro-electronico-general/web01-sede/es/","2026-09-16","official (5 MB per file recommended, 15 MB total maximum)"
"Agencia Tributaria Canaria","ES","Attachments to Canary Islands tax procedures","Los ficheros tendrán un tamaño máximo de 8.5 MB por fichero.","8704","published_cap","not stated","TXT, XML, PDF, JPG, TIFF, PNG, RTF, ODT, ODS, HTML","https://sede.gobiernodecanarias.org/tributos/jsf/publico/sede/la_sede/requisitos_tecnicos/formatos.jsp","2026-09-16","official"
"Registro Electrónico General (AGE)","ES","Generic submission to any State body, 5 documents","puede adjuntar hasta 5 documentos. El tamaño máximo por documento es de 10 Mb. El tamaño del conjunto de los documentos no podrá exceder de 15 Mb.","10240","published_cap","5 documents, 15 MB total","not stated","https://sede.administracion.gob.es/PAG_Sede/ServiciosElectronicos/RegistroElectronicoGeneral.html","2026-09-16","official"
"SEPE","ES","Documents for unemployment benefit, 5 documents","Máximo: solo se permite anexar entre 1 y 5 documentos. Tamaño: los archivos tendrán entre 1Kb y 10Mb","10240","published_cap","1 to 5 documents","not stated","https://sede.sepe.gob.es/dam/portalSede/pdf/Guia_de_uso_Servicio_Aportar_Documentacion.pdf","2026-09-16","official"
